agent1,agent2,num_agents_scene,common_start_frame,common_end_frame,interaction_bool,path_sharing_bool,start_path_sharing_frame_difference,real_time_closest_distance,scene
99,1,5,1,20,False,False,,6.7424375871825,scene-0301
99,2,5,1,29,False,False,,18.686018084452698,scene-0301
99,3,5,21,37,False,False,,34.47760426318351,scene-0301
99,0,5,25,37,False,False,,25.095134602490866,scene-0301
1,2,5,1,20,False,False,,14.274888537840523,scene-0301
2,3,5,21,29,False,False,,53.999158254438385,scene-0301
2,0,5,25,29,False,False,,43.76845330698111,scene-0301
3,0,5,25,37,False,False,,23.732457042410918,scene-0301
99,4,8,1,18,True,True,8,4.4027405212451844,scene-0302
99,2,8,1,37,True,True,5,19.45716066562506,scene-0302
99,5,8,4,18,False,False,,11.746153357062434,scene-0302
99,1,8,8,21,False,False,,12.82654334025306,scene-0302
99,0,8,11,37,False,False,,45.214494404936545,scene-0302
99,6,8,22,37,False,False,,9.171508015726834,scene-0302
99,3,8,25,37,False,False,,33.277179985167336,scene-0302
4,2,8,1,18,True,True,4,6.036459799616304,scene-0302
4,5,8,4,18,False,False,,7.076134409161704,scene-0302
4,1,8,8,18,False,False,,27.320663407400925,scene-0302
4,0,8,11,18,False,False,,118.45160005935418,scene-0302
2,5,8,4,18,False,False,,13.647073375269224,scene-0302
2,1,8,8,21,False,False,,15.325076665120717,scene-0302
2,0,8,11,37,False,False,,64.68492112628348,scene-0302
2,6,8,22,37,False,False,,10.205522756281143,scene-0302
2,3,8,25,37,False,False,,52.88131013221983,scene-0302
5,1,8,8,18,False,False,,25.897903516566505,scene-0302
5,0,8,11,18,False,False,,112.79881097428412,scene-0302
1,0,8,11,21,False,False,,82.05868825783551,scene-0302
0,6,8,22,37,False,False,,8.500523258329872,scene-0302
0,3,8,25,37,False,False,,13.787807661347722,scene-0302
6,3,8,25,37,False,False,,28.057146059536475,scene-0302
99,2,6,1,15,False,False,,7.260962715417122,scene-0303
99,0,6,1,33,False,False,,14.647085475594496,scene-0303
99,3,6,1,37,False,False,,12.146767736412292,scene-0303
99,4,6,1,37,True,True,6,10.963939144951363,scene-0303
99,1,6,14,27,False,False,,6.792775160371071,scene-0303
2,0,6,1,15,False,False,,9.812588555398055,scene-0303
2,3,6,1,15,False,False,,10.508227730668857,scene-0303
2,4,6,1,15,False,False,,8.03741357027894,scene-0303
0,3,6,1,33,False,False,,28.078998588864163,scene-0303
0,4,6,1,33,False,False,,4.259936167640772,scene-0303
0,1,6,14,27,False,False,,7.483588633469332,scene-0303
3,4,6,1,37,False,True,14,22.661134155575876,scene-0303
3,1,6,14,27,False,False,,6.4473802363930375,scene-0303
4,1,6,14,27,False,False,,7.821150823736812,scene-0303
99,5,11,1,23,False,False,,12.251264429036231,scene-0304
99,9,11,1,18,False,False,,14.69626700573098,scene-0304
99,6,11,1,26,True,True,10,28.414941350913953,scene-0304
99,4,11,1,36,True,True,6,8.480042010639883,scene-0304
99,1,11,2,21,False,False,,17.52721459544119,scene-0304
99,3,11,3,25,False,False,,14.786604070024783,scene-0304
99,7,11,13,32,False,False,,8.858299444430127,scene-0304
99,0,11,14,32,False,False,,8.597676677497608,scene-0304
99,2,11,17,32,False,False,,8.36699720581244,scene-0304
99,8,11,24,36,False,False,,9.017336327374494,scene-0304
5,9,11,1,18,False,False,,26.947388048108877,scene-0304
5,6,11,1,23,False,False,,40.36055283742127,scene-0304
5,4,11,1,23,False,False,,5.070195572890547,scene-0304
5,1,11,2,21,False,False,,56.68137144689744,scene-0304
5,3,11,3,23,False,False,,27.221510630304913,scene-0304
5,7,11,13,23,False,False,,43.668782894589064,scene-0304
5,0,11,14,23,False,False,,84.03265466113027,scene-0304
5,2,11,17,23,False,False,,63.38763475849951,scene-0304
9,6,11,1,18,False,False,,14.713313522651866,scene-0304
